ID,Customer_ID,Seller_ID,Number_of_Items,Order_Date,Order_Time,Estimated_Delivery_Date,Date_delivered
1929576,37345,189575,1,2021-11-03,06:30:07,2021-11-06,2021-11-05
3156182,25012,551318,5,2022-08-12,15:45:24,2022-08-13,2022-08-12
1259610,99479,516335,1,2021-07-09,04:32:24,2021-07-11,2021-07-09
3186165,30623,705237,7,2022-08-08,23:37:07,2022-08-12,2022-08-11
1191809,97358,639428,5,2022-04-15,05:35:33,2022-04-16,2022-04-15
3283042,42660,115824,3,2022-12-16,01:30:42,2022-12-19,2022-12-18
1550200,83728,874457,1,2021-01-06,22:59:25,2021-01-08,2021-01-06
1559514,38369,760689,2,2022-07-02,21:08:06,2022-07-03,2022-07-06
3142004,62233,844261,8,2022-02-11,17:56:39,2022-02-13,2022-02-15
2295216,39347,212808,6,2022-02-06,02:51:41,2022-02-08,2022-02-09
2949130,15613,478627,3,2022-03-19,18:05:50,2022-03-22,2022-03-20
2648688,17889,733317,1,2021-05-15,17:48:08,2021-05-17,2021-05-18
1219458,64642,828906,7,2021-06-22,23:00:10,2021-06-24,2021-06-24
3108753,92702,400526,7,2022-12-06,22:35:00,2022-12-08,2022-12-11
3306663,40201,167627,8,2021-08-05,00:04:18,2021-08-06,2021-08-11
3482934,19371,477287,3,2021-01-31,10:24:01,2021-02-03,2021-02-05
1470967,79474,729088,2,2022-05-06,16:54:49,2022-05-09,2022-05-08
3166241,33092,192597,1,2022-07-10,07:58:12,2022-07-12,2022-07-11
1082720,99859,667148,8,2021-09-21,05:11:17,2021-09-23,2021-09-21
2144011,36032,589382,4,2021-04-27,09:16:39,2021-04-27,2021-04-29
1706630,52785,634978,6,2021-10-04,15:57:51,2021-10-05,2021-10-04
1064921,97358,851742,7,2022-08-06,18:44:15,2022-08-07,2022-08-10
2428074,76494,261970,1,2021-12-08,05:38:35,2021-12-09,2021-12-08
2848231,48775,833885,8,2022-08-15,15:47:50,2022-08-15,2022-08-15
2900596,21837,363848,2,2022-09-03,06:19:59,2022-09-04,2022-09-04
1555535,29840,191197,6,2022-02-15,03:45:10,2022-02-18,2022-02-19
2612188,34384,324239,5,2022-10-14,00:21:47,2022-10-16,2022-10-17
1860023,26627,538589,2,2022-11-25,12:52:14,2022-11-28,2022-11-27
1997934,68837,439306,7,2021-01-04,13:41:24,2021-01-04,2021-01-09
2961245,12857,709403,3,2021-05-04,15:05:13,2021-05-08,2021-05-04
3351562,70086,673183,8,2022-09-23,01:55:36,2022-09-26,2022-09-28
2207843,75741,623808,1,2022-06-20,09:41:03,2022-06-21,2022-06-22
1898752,16593,752389,4,2022-05-11,15:37:27,2022-05-17,2022-05-18
3013986,40244,113405,1,2021-05-14,06:11:43,2021-05-16,2021-05-14
2247243,20105,760923,2,2021-09-14,06:07:01,2021-09-14,2021-09-15
1294599,56275,645271,1,2021-01-07,20:12:50,2021-01-12,2021-01-13
1906842,67555,511112,7,2021-02-02,14:28:02,2021-02-02,2021-02-04
1414416,46265,121957,1,2022-01-23,10:30:24,2022-01-23,2022-01-24
2850007,10986,894093,2,2022-04-14,08:39:26,2022-04-17,2022-04-14
2043207,52532,591105,3,2021-12-25,06:46:46,2021-12-25,2021-12-30
3140335,53704,125324,7,2022-10-01,09:39:13,2022-10-02,2022-10-06
1160071,84381,496831,5,2021-09-25,01:47:12,2021-09-26,2021-09-27
1086169,63765,114745,6,2021-07-27,01:58:36,2021-07-27,2021-07-31
2398129,75617,799592,1,2022-03-09,23:22:37,2022-03-09,2022-03-09
3048503,36945,367199,7,2022-10-27,22:22:59,2022-10-27,2022-10-27
1730208,13255,492772,6,2022-08-10,17:55:28,2022-08-12,2022-08-14
3482940,52085,522086,7,2021-12-20,18:00:50,2021-12-21,2021-12-23
2385549,26283,444268,8,2021-07-14,14:52:48,2021-07-16,2021-07-16
3119354,92084,425252,1,2021-06-19,21:54:49,2021-06-22,2021-06-19
2059868,62701,614810,3,2022-07-27,02:36:53,2022-07-30,2022-07-28
3261992,61634,312564,2,2022-04-24,11:41:49,2022-04-25,2022-04-27
3271447,89670,184536,8,2022-10-29,20:48:48,2022-11-02,2022-10-29
2800998,65514,599539,6,2022-08-29,17:28:19,2022-08-30,2022-08-31
1994998,20496,698737,6,2021-11-28,15:11:07,2021-11-28,2021-11-30
1375346,16951,717474,1,2021-01-27,11:44:16,2021-01-28,2021-01-28
1311870,46095,814313,5,2022-03-20,10:19:21,2022-03-21,2022-03-21
1988611,20563,672051,7,2021-03-15,00:10:41,2021-03-15,2021-03-18
3101067,23567,801732,7,2022-06-03,06:06:25,2022-06-05,2022-06-04
2341755,69167,786946,7,2022-01-08,08:18:29,2022-01-08,2022-01-13
2872124,60439,572562,8,2022-12-01,10:41:35,2022-12-06,2022-12-02
2859149,12256,845332,5,2021-06-13,22:40:06,2021-06-14,2021-06-13
3382127,69072,587174,5,2021-12-05,15:53:05,2021-12-08,2021-12-07
2820865,71584,783623,4,2022-04-16,21:18:48,2022-04-22,2022-04-19
2670114,24716,156569,7,2021-12-07,20:24:46,2021-12-09,2021-12-12
2453496,85857,829237,3,2022-07-28,17:38:50,2022-07-28,2022-07-30
1901232,71709,462495,7,2022-03-25,02:46:13,2022-03-31,2022-03-26
1823886,82129,815527,2,2021-01-10,21:38:59,2021-01-12,2021-01-11
2567882,63739,496458,2,2021-08-01,14:40:48,2021-08-06,2021-08-03
2058241,79451,538719,5,2021-12-20,14:32:06,2021-12-20,2021-12-22
1960006,38826,791403,2,2021-11-03,22:56:46,2021-11-05,2021-11-09
3373429,38347,861946,3,2022-09-14,20:08:20,2022-09-16,2022-09-17
1253004,94138,867851,7,2022-03-22,21:35:00,2022-03-24,2022-03-22
2268286,74804,419948,6,2021-03-19,20:49:19,2021-03-19,2021-03-24
3028655,88283,516335,6,2021-10-25,04:47:09,2021-10-27,2021-10-25
2634730,34908,612031,3,2022-01-03,11:58:34,2022-01-08,2022-01-03
1500280,57432,431755,2,2021-06-08,15:42:56,2021-06-13,2021-06-09
2650702,86580,195209,2,2021-04-30,09:37:37,2021-05-01,2021-05-07
2737740,15997,880845,6,2022-09-07,17:21:54,2022-09-11,2022-09-09
2105398,68637,629566,8,2022-11-27,02:24:34,2022-11-28,2022-11-30
1546435,77495,608035,4,2021-08-20,18:25:39,2021-08-23,2021-08-22
2882139,38203,425252,5,2022-08-24,02:15:31,2022-08-28,2022-08-24
3454788,47816,497620,2,2021-12-10,15:50:52,2021-12-13,2021-12-15
2441351,53146,365377,5,2022-10-24,10:44:02,2022-10-27,2022-10-25
2650582,21673,252303,3,2021-07-15,01:20:48,2021-07-18,2021-07-16
1759295,97285,805982,8,2021-04-01,22:26:51,2021-04-03,2021-04-05
2549489,26331,383952,1,2022-08-08,20:30:31,2022-08-09,2022-08-11
1109799,85299,347416,6,2021-09-15,19:31:29,2021-09-18,2021-09-18
2368216,60849,761481,1,2021-05-19,07:49:37,2021-05-20,2021-05-25
2291791,58505,525001,4,2022-08-26,14:20:51,2022-08-30,2022-08-29
1190158,85792,258247,1,2021-02-04,03:28:42,2021-02-05,2021-02-11
2983552,33165,206457,1,2022-04-03,23:43:40,2022-04-07,2022-04-04
2348784,62359,410276,8,2021-07-24,16:27:06,2021-07-26,2021-07-25
1339777,52757,639428,5,2022-01-02,12:20:24,2022-01-05,2022-01-04
2238579,91718,143323,5,2021-11-04,04:29:58,2021-11-08,2021-11-06
3433284,59503,519018,5,2021-07-21,05:09:05,2021-07-24,2021-07-26
1593510,49132,592219,7,2022-08-10,14:09:50,2022-08-12,2022-08-12
1038515,45790,701003,4,2021-12-28,14:30:23,2021-12-31,2022-01-02
3445663,95909,515482,3,2022-01-20,14:31:30,2022-01-22,2022-01-25
2085839,23141,367589,8,2022-06-06,04:13:11,2022-06-08,2022-06-08
2766965,28559,610681,3,2022-12-24,16:27:53,2022-12-27,2022-12-29
1204262,35005,228475,1,2021-05-04,02:02:31,2021-05-04,2021-05-05
1814688,16155,159288,3,2021-01-29,07:45:05,2021-02-01,2021-01-30
1122428,71981,563129,5,2022-04-14,14:12:43,2022-04-14,2022-04-14
3370474,73672,377621,5,2022-01-12,08:29:41,2022-01-16,2022-01-17
1416500,13272,729689,4,2022-11-23,02:38:15,2022-11-29,2022-11-28
1870487,32206,343874,5,2021-02-21,15:49:49,2021-02-26,2021-02-23
1579180,56253,496458,7,2022-10-22,05:32:32,2022-10-27,2022-10-22
3258055,85920,897167,2,2022-06-07,12:03:38,2022-06-09,2022-06-10
2306553,49317,182488,4,2022-03-24,06:40:24,2022-03-27,2022-03-26
1315640,17936,451058,4,2022-06-01,04:43:18,2022-06-02,2022-06-07
2905677,85857,701464,5,2022-02-02,02:17:03,2022-02-03,2022-02-02
1980533,56520,486085,3,2022-06-07,12:07:54,2022-06-09,2022-06-09
3088842,80255,294678,1,2022-09-27,21:47:47,2022-09-30,2022-09-28
2294091,13007,834469,4,2022-11-03,10:43:51,2022-11-07,2022-11-07
1503954,11909,158573,4,2021-02-16,18:12:48,2021-02-21,2021-02-18
2856580,73672,843117,8,2022-05-04,11:09:13,2022-05-07,2022-05-11
1283292,15367,367033,7,2021-12-20,00:16:21,2021-12-21,2021-12-21
2484283,90913,477252,7,2022-01-23,20:56:33,2022-01-23,2022-01-29
2653936,96254,572902,4,2022-06-15,17:44:16,2022-06-15,2022-06-21
1708019,37897,819833,4,2022-07-02,12:10:47,2022-07-05,2022-07-04
2376978,77167,448474,6,2022-10-25,08:27:11,2022-10-26,2022-10-25
2391061,54017,861946,7,2022-06-07,13:37:15,2022-06-11,2022-06-09
2857576,75725,607559,8,2022-07-27,18:45:32,2022-07-29,2022-08-03
1376327,39050,791547,1,2022-08-30,14:09:10,2022-09-03,2022-09-02
2042658,16192,521773,3,2021-05-26,02:59:27,2021-05-28,2021-05-26
1280156,99400,154612,7,2021-09-26,07:51:50,2021-10-01,2021-09-30
1475034,84259,547164,8,2021-11-16,12:00:23,2021-11-17,2021-11-18
1760466,71050,833885,1,2021-04-12,22:50:29,2021-04-13,2021-04-15
1121950,56536,448474,3,2021-08-26,11:38:07,2021-08-26,2021-08-29
1977658,57187,571447,5,2022-11-26,07:39:03,2022-11-29,2022-11-27
3281839,61034,230339,3,2022-03-30,01:45:08,2022-04-01,2022-04-03
1843467,92307,479909,3,2021-12-30,00:18:27,2021-12-31,2021-12-30
2689417,41324,483612,1,2021-09-28,19:20:32,2021-10-03,2021-10-01
2232713,62248,666023,5,2021-07-02,06:38:41,2021-07-02,2021-07-05
3449348,81290,664480,2,2021-10-09,07:01:23,2021-10-10,2021-10-09
2872505,54161,713353,2,2021-06-13,09:06:31,2021-06-18,2021-06-19
2107584,37508,892603,4,2022-05-10,05:26:40,2022-05-11,2022-05-11
1145888,19546,379440,8,2022-07-29,20:57:37,2022-07-30,2022-07-30
2352151,29659,124387,1,2021-06-09,09:56:39,2021-06-09,2021-06-10
1176130,12444,117281,8,2021-02-21,19:41:25,2021-02-24,2021-02-27
1782991,53011,187190,6,2022-03-08,04:58:05,2022-03-09,2022-03-12
1898054,94709,775063,7,2022-01-05,11:00:03,2022-01-06,2022-01-08
1708287,58298,285510,6,2021-07-03,10:44:14,2021-07-03,2021-07-04
2659322,53411,871084,5,2021-06-15,05:02:26,2021-06-15,2021-06-22
3266963,82328,496831,2,2021-12-26,23:55:12,2021-12-27,2022-01-02
2867195,59130,174294,6,2021-05-03,19:33:14,2021-05-03,2021-05-08
2610439,16951,518751,4,2021-03-18,03:31:49,2021-03-20,2021-03-24
2950503,53687,419506,2,2021-05-07,13:07:37,2021-05-08,2021-05-08
1258077,35430,319567,7,2022-12-20,11:36:42,2022-12-22,2022-12-21
1533823,22461,151151,7,2021-10-04,21:08:31,2021-10-04,2021-10-08
2240406,67982,611120,2,2022-11-11,01:58:56,2022-11-13,2022-11-15
1183298,36291,843931,8,2021-01-15,20:13:38,2021-01-18,2021-01-17
1157767,53050,775018,6,2022-08-02,11:34:56,2022-08-02,2022-08-05
1252416,71981,616391,1,2021-10-31,18:29:09,2021-11-05,2021-11-02
2769381,10562,311592,2,2022-10-01,15:27:45,2022-10-01,2022-10-04
2811900,11137,824519,5,2021-06-29,00:12:49,2021-06-29,2021-06-30
2494949,50221,508531,6,2022-08-31,15:11:43,2022-08-31,2022-09-02
3272116,82403,835291,8,2021-08-19,23:17:13,2021-08-21,2021-08-19
1950573,73409,726647,4,2021-04-07,16:46:08,2021-04-10,2021-04-09
3035258,64082,439937,1,2022-12-04,04:44:47,2022-12-07,2022-12-11
2809743,19363,709403,2,2021-03-03,03:06:47,2021-03-05,2021-03-05
3209579,83707,183380,5,2021-09-01,06:47:09,2021-09-04,2021-09-02
3486522,62290,571236,7,2022-11-27,10:24:28,2022-11-28,2022-11-27
3002132,33189,520171,8,2021-01-13,23:18:52,2021-01-18,2021-01-18
2830988,52961,149362,6,2021-04-10,19:15:41,2021-04-10,2021-04-13
2038581,49978,549941,5,2021-02-03,17:58:58,2021-02-03,2021-02-03
2776140,75390,410240,6,2022-08-28,09:09:26,2022-09-03,2022-08-31
1898972,65203,777894,2,2022-01-30,14:30:01,2022-01-30,2022-02-02
1470088,90547,492872,1,2021-01-14,10:38:39,2021-01-18,2021-01-16
1632839,90955,859481,4,2022-06-09,04:12:11,2022-06-14,2022-06-11
2846634,75357,530902,3,2021-05-28,11:08:02,2021-05-29,2021-06-01
2195506,55577,722551,8,2021-07-09,21:06:07,2021-07-11,2021-07-10
2844171,75290,254189,7,2022-09-30,21:36:40,2022-09-30,2022-10-06
1489513,99375,563366,3,2021-06-09,00:47:28,2021-06-11,2021-06-14
1863061,29628,368528,6,2022-10-10,19:14:14,2022-10-10,2022-10-16
2011548,44825,321227,8,2021-10-03,03:09:55,2021-10-04,2021-10-06
2984623,42731,728933,7,2021-04-09,10:51:24,2021-04-11,2021-04-12
3154308,88155,175394,5,2021-12-07,21:39:43,2021-12-07,2021-12-08
3209110,18403,186556,4,2022-07-10,22:11:44,2022-07-10,2022-07-15
3349842,23754,891292,5,2021-01-09,22:28:38,2021-01-13,2021-01-12
2996286,93924,202550,3,2021-01-25,07:43:13,2021-01-25,2021-01-25
2697182,49373,606400,4,2022-05-17,17:14:15,2022-05-19,2022-05-22
2627002,86933,280256,1,2021-03-15,04:58:56,2021-03-16,2021-03-16
1898768,50603,805368,6,2022-08-09,00:18:46,2022-08-10,2022-08-11
2947995,19502,615684,8,2021-12-12,07:15:33,2021-12-16,2021-12-16
3483214,78402,201741,3,2022-12-12,01:54:33,2022-12-12,2022-12-15
3095792,67283,572902,8,2022-10-16,20:15:39,2022-10-16,2022-10-16
1577084,87802,818184,5,2021-09-13,07:59:41,2021-09-13,2021-09-14
2111078,76446,785238,7,2021-11-25,02:24:08,2021-11-29,2021-11-27
2922410,16930,516428,4,2021-08-21,09:46:25,2021-08-24,2021-08-22
2735167,16414,507423,6,2022-11-09,15:19:21,2022-11-10,2022-11-14
2105219,32068,170600,4,2022-11-17,00:49:13,2022-11-17,2022-11-17
2537460,30698,571236,8,2021-01-17,09:17:30,2021-01-19,2021-01-24
2267667,24261,867100,2,2022-04-29,06:58:15,2022-05-04,2022-05-03
2019032,25638,444230,6,2022-03-13,13:04:22,2022-03-13,2022-03-13
1985538,68637,508783,5,2022-02-10,07:44:20,2022-02-13,2022-02-14
1102459,63669,404864,5,2021-01-03,06:32:20,2021-01-05,2021-01-04
1504088,95182,519018,3,2022-06-24,10:55:07,2022-06-26,2022-06-24
1806541,44964,532701,8,2022-05-08,22:34:35,2022-05-13,2022-05-10
3303540,31006,722551,5,2021-10-19,16:27:20,2021-10-23,2021-10-22
2820967,86680,779434,8,2022-11-20,06:34:46,2022-11-20,2022-11-20
3238395,35916,175394,5,2021-10-16,22:56:21,2021-10-18,2021-10-17
2040979,64210,122118,8,2022-02-02,18:17:36,2022-02-03,2022-02-03
1507018,92312,445983,8,2021-05-02,00:31:43,2021-05-06,2021-05-04
2246390,72732,483198,4,2021-11-17,14:35:56,2021-11-19,2021-11-19
1716430,71154,492872,3,2021-11-02,02:23:27,2021-11-03,2021-11-03
3262330,32391,734754,2,2021-02-25,13:27:01,2021-02-27,2021-03-02
1623885,56059,768903,5,2021-11-07,10:33:22,2021-11-07,2021-11-10
3165124,86870,651198,7,2021-06-17,04:24:29,2021-06-17,2021-06-20
1776173,97825,412750,2,2022-10-31,10:43:13,2022-10-31,2022-11-01
2391766,74120,530237,6,2022-10-17,16:51:02,2022-10-20,2022-10-19
2105162,48628,401642,3,2022-08-23,08:21:39,2022-08-27,2022-08-25
1530908,23241,736036,5,2022-07-10,03:25:27,2022-07-10,2022-07-10
1716774,25357,256319,5,2022-02-19,20:02:22,2022-02-21,2022-02-23
3103188,66974,545505,3,2022-01-11,20:29:16,2022-01-12,2022-01-15
2939380,52015,746241,6,2021-09-15,08:01:07,2021-09-15,2021-09-18
2452154,73405,439821,7,2022-12-07,07:11:09,2022-12-08,2022-12-07
1618102,23994,626661,6,2021-05-27,06:11:51,2021-05-27,2021-06-02
2987202,75526,258199,5,2022-02-09,01:16:41,2022-02-11,2022-02-09
1638598,56191,226231,3,2022-09-07,22:36:56,2022-09-11,2022-09-08
1822074,38549,286607,5,2021-06-25,03:02:49,2021-06-30,2021-06-28
1739383,77978,138426,1,2021-03-15,02:40:02,2021-03-15,2021-03-20
1096459,29874,246913,6,2021-08-23,15:51:10,2021-08-23,2021-08-24
1833750,87610,356637,1,2021-05-07,04:58:11,2021-05-08,2021-05-07
1605686,72513,126763,1,2022-03-16,21:52:13,2022-03-17,2022-03-16
1985088,96333,667148,4,2021-06-29,11:17:37,2021-07-02,2021-07-01
2720069,89897,591068,1,2022-11-15,22:07:27,2022-11-17,2022-11-17
3068499,43897,858207,3,2021-08-24,20:52:36,2021-08-26,2021-08-24
1194957,81425,343874,2,2021-11-02,11:55:04,2021-11-04,2021-11-04
1363985,76400,324239,3,2022-01-06,12:47:59,2022-01-06,2022-01-08
3280740,58663,892603,8,2021-12-20,17:07:06,2021-12-21,2021-12-21
1449290,43695,471445,5,2021-05-17,00:58:13,2021-05-18,2021-05-19
3097425,38911,734754,6,2022-03-12,03:27:28,2022-03-15,2022-03-15
3165182,96217,832979,5,2022-08-19,08:58:38,2022-08-22,2022-08-24
3403933,87105,180216,1,2022-02-21,17:38:32,2022-02-24,2022-02-22
1016328,59320,338728,1,2022-04-10,03:28:30,2022-04-11,2022-04-13
2134053,43692,543103,6,2021-10-02,01:58:27,2021-10-04,2021-10-04
3230137,53845,584343,3,2021-01-02,02:12:51,2021-01-02,2021-01-02
2925980,52871,614776,4,2022-07-02,13:06:02,2022-07-04,2022-07-02
2098266,46090,592860,1,2022-05-23,13:59:52,2022-05-26,2022-05-24
1640705,54304,305014,3,2022-12-06,00:24:17,2022-12-06,2022-12-12
1639517,18235,542291,6,2022-01-11,03:55:50,2022-01-16,2022-01-13
3348833,59983,683180,2,2021-05-04,11:35:18,2021-05-06,2021-05-07
2003304,69728,708057,3,2021-04-01,03:33:53,2021-04-01,2021-04-04
1194976,56529,257620,3,2022-05-01,12:43:51,2022-05-06,2022-05-01
2421050,22978,261970,7,2022-04-02,11:50:00,2022-04-06,2022-04-04
1212890,48550,785238,3,2022-05-17,00:51:46,2022-05-17,2022-05-19
3344299,56056,216124,4,2022-03-02,21:44:01,2022-03-02,2022-03-04
1219652,36109,116987,3,2021-07-25,09:28:37,2021-07-25,2021-07-28
2644387,59366,871552,1,2022-08-17,14:26:23,2022-08-18,2022-08-19
1740502,71274,254629,6,2021-01-11,11:49:43,2021-01-15,2021-01-12
1608001,57921,191401,8,2022-06-22,08:16:45,2022-06-22,2022-06-22
2173930,74910,554656,4,2022-10-27,13:42:14,2022-10-28,2022-10-30
1242149,30979,887954,1,2022-01-02,18:24:56,2022-01-05,2022-01-04
2275729,26206,474402,7,2021-09-10,06:52:27,2021-09-11,2021-09-16
